session_id,GENERAL / Type,CAMP / camp_id,TIME DATA / start_time,TIME DATA / end_time,ASSESS / goals,ASSESS / highlighted,ASSESS / best,ASSESS / To Work,ASSESS / assessment_boolean,GENERAL / Results,ASSESS / Standard move,audionotes,ASSESS / Wind Pattern
SCQqTqPAR1WGKLuQhnhiJg,Training,xPf4v1SFSOqJmaW5CsoWlA,"27/5/2025, 6:37:00 p. m.","27/5/2025, 6:37:00 p. m.",,,"Día 1 en Grecia salimos en el bote con Nevin e Ian:

Observamos:
- Ian movimiento de mayor muy fino en los up and downs del viento, siempre manteniendo la mayor un poco abierta mientras que los AUS aveces tenían que cerrar mucho y hacían stall y los movimientos de mayor eran más largos y brutos.
- Nevin usó por momentos el foque más alto y se lo veía más liderando las probadas con más resto que los AUS. Podía ir para arriba y el barco le salía para adelante.
- Puesta a punto había un chopp muy grande así que Ian no soltó muchas vueltas del bajo para dejar el mástil más potente, 1 pin suelto del alto y orza bastante arriba. (Comentaron con Nevin la importancia de subir más orza los días de mucho chopp pero no soltar tanto el bajo) entonces esos días dejas potente arriba y descomprimís con la orza 
- Clave viradas Ian y Nev, estar conectado con el barco para sentir cuando y cuanto salir al nuevo lado, ellos esperaban un poco más a que tenga más carga y desp salían suave. El Aus le daba más fuerte y aveces por eso tenía que cazar la mayor y se le apagaba. 
- En la cancha saliendo para abajo a la izquierda hubo en principio más viento pegado a la costa, en la mayoría de las probadas salvo en la última popa que entró más por el medio y no tan cerca de la costa. (En la costa había unas nubes tipo cumulus en las montañas cercanas)
- Ian se iba a popa más rápido que el tripu AUS post las trasluchadas planing
- Nevin usaba más el rango de mayor en la racha soltaba y en la calma anticipaba y generaba un poquito de más presión con mayor. 
- Ian saca la cabeza un huevo del barco en la popa ",,,,,,
VqtfxadhTmKESMC7FJlUFA,Training,KQOW-XQESbGncHvEZwW-Ag,"28/5/2025, 6:53:00 a. m.","28/5/2025, 9:53:00 a. m.",,,"Getting into good shifts and preassure before starts that where complicated 

Geometry UW
","When we are the first ones tacking from
Our pack UW, remember to have an eye over our shoulder, if they keep on pointing higher let’s close and do two tacks. 

Drops! No need for Ian to rush inside to drop because of waiting to long to drop
Better do it 2 secs earlier, give more time to Nev to control heel and main and go

Check spinaker sheets after drop!!
If problem, think when to do it in the beat. Sometimes better to wait cause we are making gains and is important to keep developing to make a cross or pass boats

",,,,,
zpjbQWQkSOSkWvIqC9gPvw,Training,KQOW-XQESbGncHvEZwW-Ag,"29/5/2025, 6:51:00 a. m.","29/5/2025, 11:50:00 a. m.",,,"Attitude when we where at the back! 👏 we been able to recover

Playing the shifts UW 

Been active to change the kite","Position to the line when we are at the middle in light conditions (we been a little to far)

Check turns to double check base in the scale of turn buckles when we are in the water!!

Gybes! I think we can wait one more sec and be one degree higher to pump



",,,,,
QzPaSdMpRuWlvXOtVzNicg,Training,KQOW-XQESbGncHvEZwW-Ag,"30/5/2025, 5:48:00 a. m.","30/5/2025, 8:47:00 a. m.",,,,"Re check turns everytime to take doubts out and avoid doubts

",,,,,
b3K6YLrQSsW1Xv9DTvCzEg,Training,KQOW-XQESbGncHvEZwW-Ag,"31/5/2025, 5:30:00 a. m.","31/5/2025, 7:00:00 a. m.",,false,"Tacks! Amazing feel and execution. Timing and coordination

","Gybes. Ian moves when laying on the hull
Early on the new kite sheet to have as soon as possible the kite on the new side

Nev open base when piping battens to control the pressure of the hit and then be ready to pump as further forward as possible
Keep shoulders out and down after the pump and slide in with the fit to avoid steps",,,,,
CUc18JwETzeUtxSFcgaNIA,Training,xPf4v1SFSOqJmaW5CsoWlA,"1/6/2025, 7:44:00 a. m.","1/6/2025, 9:45:00 a. m.",,,"Aprendizaje:
- lo más que cruzo la pierna en las viradas por proa lo menos que jodo el foque.
- la importancia del crossover de doble trapecio a simple a medida que calma el viento. (Menos peso en el aparejo menos ahogado el barco)
- Calma chicha y agua plana ir a - 2/3 en los bajos = mayor más plana = mayor velocidad final.
- Importancia de mirar para adelante y anticipar las calmas (dar un pelo de escora y un pelo liberar la baluma de mayor)
- Pasar lo más agachado y por abajo posible del foque, hay más espacio lo jodo menos y me siento rápido y suave del otro lado.
- mirar más a los otros tripus que modo están haciendo y donde ponen el peso.
- Importante de hacer la pegada larga y hacia afuera.
- Si entramos límite con un barco y nosotros somos internos hacer arriada late para forzar a que nos dé más espacio. (Maxi comunicarme esa intención ya que yo no veo mucho ahí)

Pasada de battens en la gybe c un pie en el rail.

Hablar mas de lo q veo adelante y q modo quiero hacer en base a la progresion y el viento
","- mirar más para adente y a los otros tripus

-despues de la pegada de la gybe volar para adentro pero no parado

-si bien mejoro la com seguir trabajando eso.

Forma de pensar y traer información:
- observación no solo mirar: (que implica)
- veo el agua
- denoto la presión o calma 
- Estimo tiempo a ella
- Estimo si se mantiene o es corta 
- Que modo hago en la presión que modo hago antes a ella 
",,,,,
BhqJOODgRnSeg0Byflk6KQ,Training,xPf4v1SFSOqJmaW5CsoWlA,"30/5/2025, 6:06:00 a. m.","30/5/2025, 11:09:00 a. m.",,,"- Balance del barco con la mayor
- Entra la presión suelto, cortito por abajo del elástico pero vuelvo a casar rápido y es ahí un juego fino. ¿Porque desp de soltar hay que cazar rápido? El barco cuando soltas al barco entrar la presión acelera, y genera aparente que se va hacia proa el viento por eso nos pide cerrar al toque.
- Trasluchada patinar el pie de atrás y entrar con el de adelante.
- llevar el globo con los hombros no con los brazos 
-  Poner foco en mi peso en la Trasluchada para ayudar a Maxi a entrar cómodo y poder tirarla con swing
- Virada poner foco en que no se suelte la mayor en la entrada y en la salida no hacer pasitos sino salir de una. (Video del día lo muestra bien)
- El globo negro no volaba tan bien súper suelto, iba apenas cazadito","- Comunicación (tener un plan) debate y razonar y compartir lo que pretendemos hacer ayuda a que podamos conectar llevada, puesta a punto con estrategia y táctica.",,,,,
KyoPuo.wTpeUTLXIAJR4Ww,Training,xPf4v1SFSOqJmaW5CsoWlA,"31/5/2025, 5:40:00 a. m.","31/5/2025, 7:50:00 a. m.",,,,"Cuándo es marginal double trap, en el exit de la virada tade quedar más estático y cerca de cubierta para que Max controle el barco y la escora",,,,,
1WV1ysxSTga66JIYvRHycg,Training,KQOW-XQESbGncHvEZwW-Ag,"2/6/2025, 9:02:00 a. m.","2/6/2025, 10:43:00 a. m.",,,"Chinese mode. Full full hike on the little preassure

","Less controls when we are not into numbers allready

Final inch down when we have the best speed against boats around

-at the start, sometimes we are thinking to beat the boat to leeward by getting closer when in light condition the high mode acceleration pays out
",,,,,
fsQkuOIwQiOhHY86Uyw-aA,Training,KQOW-XQESbGncHvEZwW-Ag,"1/6/2025, 7:21:00 a. m.","1/6/2025, 10:00:00 a. m.",,,,,,,,,
a.gl55wZXQhi8TTF3sNknKA,Training,xPf4v1SFSOqJmaW5CsoWlA,"1/6/2025, 9:00:00 p. m.","1/6/2025, 11:00:00 p. m.",,,"- Trabajo fino con la mayor: Soltar sentir la descarga del barco y empezar a cazar se puede mover muy poca mayor y tener resultados al toque
- clave Maxi soltar foque antes de las calmas 
- Tadeo mirar las calmas y anticipar soltando un poquito el vang
- levantar el culo antes de ir a hacer los controles, entrar más con los hombros
- Cancha uno; entro más viento por las puntas
- Sacar el cuni para afuera e ir metiendo a medida que acelera
- Cuando está agarrando medio paso a popa lo súper ayuda al barco
- Usar no solo los pies sino también la postura para el peach
- Maxi animarse a meter el foque cuando entra más viento y el barco está saliendo ayuda a salir para adelante",,,,,,
TZIHUNn7QWSX2bhJOyMu2Q,Regatta,WaKVz-IpRrCjorVqk5q7aw,"3/6/2025, 9:00:00 a. m.","3/6/2025, 11:00:00 a. m.",,,"Attitude, Team spirit

Gate roundings and tactics","Banging sides a bit more when possible

Downwind strategy

Split? In the finish with France in the last race",,"1,11,8",,,
RFnhqq8oT4GF.AegbDzT5w,Regatta,WaKVz-IpRrCjorVqk5q7aw,"5/6/2025, 7:19:00 a. m.","5/6/2025, 1:50:00 p. m.",,,,,,,,,
mKtOaEmcSnitZgk523crOw,Regatta,WaKVz-IpRrCjorVqk5q7aw,"6/6/2025, 9:29:00 a. m.","6/6/2025, 12:50:00 p. m.",,,,"Bfd starting at comitee end, must been aware of how close we were and let the gbr get to leeward and in case he fucked our start, we would have had the chance of tacking quick cause we where the second boat from the end

DW modes. Seems like sometimes we can find lanes where we can sail slightly higher but way faster than the fleet
Treat the DW as a persistsnt shift! 

Gybing when we are both in the trap. No need to pop all the battens in the middle, just the two from bellow it’s fine so then we can have enough heeling to hit together and pop the rest and be allready in angle

Be real and talk what we need and feel. It’s all good

Try the “flat set up” and be ready to change it on the starting sequence
Double trap (base)
Working the wing (-2+1)
Working the hull (-4+2)


",,Bfd / 16,,,
eTHFbjN-T5KQDBGIsJxiCg,Regatta,k.BKFIPqT0mZjjRdXIGXHA,"2/6/2025, 7:05:00 p. m.","6/2/2025, 8:03:00 PM",Clasificar a la gold,,"- Velocidad en ceñida cuando teníamos líneas para navegar cómodos 
- Aprovechar el lane a la derecha cuando la gente sale crunch en buenas post largadas
- Modo bajo en popa y early gibe
","- Modo apretado en ceñida 
- Comunicación ir previendo las situaciones
- boat handeling en las largadas

Modo alto en popa
Arriada cuando me tengo q frenar pq me llevo puesto al de adelante.


Cuidado y chequeo del material. Tener jna lista? 

Comunicacion en la largada?
Anticipacion de que es lo q posiblemente haga si el otro hace tal cosa? 

Ver el tema de q escora va en cenida.


To work tmb como hacer que el barco enganchado popa descargue para adelante en vez de sentir q hay power de mas y quede trabado.

Un modo en cenida q me permita sacar mas la cabeza.

Las maniobras en regatas no eran tan precisas como en los entrenamientos. Tan viradas como gybes.

Tadeo a veces se quedo enganchado del gancho del lado viejo en viradas.

Velas buevas mas duras _> tuve problemas para pasar los battens y q el barco siga girando bien. 


Clave eso de distinguir el angulo del borde si estamos con derecha o izquierda y eso me define los metros a la linea


En popa ese modito mas plano casi contraescorado, mayor mas suelta, maxi mas afuera, mas a popa y mas alto de trapecio

Estrategia. Entender cuando los q largar salen todos cruncheando y el q corta c malas ya sale full trap a fondo.


Laburar todo lo q es boat handling en largadas, entender como se mueve el barco.

Encontrar posiciones en cenida q me permitsn jugar mas y mas comodo con el foque.

Tirarse para adelante c el cuerpo en cenida cuando vamos doble trap.

Practicar soltada de foque desde full trap
",,,,,
fgRtXDLfQaGAPOMD.EDe4g,Regatta,k.BKFIPqT0mZjjRdXIGXHA,"4/6/2025, 10:07:00 a. m.","4/6/2025, 1:07:00 p. m.",,,,,,,,,
igRjLoy5TxmFoHNDk0JkLQ,Regatta,WaKVz-IpRrCjorVqk5q7aw,"7/6/2025, 6:06:00 a. m.","7/6/2025, 10:30:00 a. m.",,,"Consistency

Team spirit, support and vamos!💪🏼

","Gybes around 7 to 9 knts. Sometimes boat too flat in the middle

Defining 3 boat lengths with time to possible boats trying to squeeze into the mark


",,,,,
871OetygSpCAeHgFLyB6-g,Regatta,WaKVz-IpRrCjorVqk5q7aw,"8/6/2025, 1:01:00 p. m.","8/6/2025, 3:09:00 p. m.","Enjoy, sail another race doing what we love

Boat stability UW

Find lanes where we can develop our mode and speed

For medal race, plan was to have a great start and think about others after the first cross.
If we are on the lead, Uru and esp will cover each other",,"Amazing 2nd upwind 👏👏

Speed downwind

","Down speed moves in the prestart 

Rocket upwind beginning from more stability and maybe changes on the set up",,4 / 3 medal race. 2nd overall,,,
y7MRjERVRDyaxIGEKVMU5g,Regatta,WaKVz-IpRrCjorVqk5q7aw,"8/6/2025, 4:22:00 p. m.","8/6/2025, 6:05:00 p. m.",,,,,,,,,
UC2Ls3cBQUKYNskbcxy3pw,Training,QY-ul09.RK-ETdlAcnksRg,"15/6/2025, 11:37:00 a. m.","15/6/2025, 2:02:00 p. m.","Virada con poco viento:
- Salir con el pie de adelante y mas atrás para poder llegar com mas tiempo y pegar mejor. 60/40
- Mirar siempre para proa

Trabajo de línea:
- Scrolling: Mantener una escora y acompañar más a Maxi en los cambios de peso para que él tenga la escora en base a lo que necesita.",,"- Mejor sensación en las viradas a lo largo del día.
- Buena impresión en la condición sub 4 kts la puesta a punto +3 primarios - 7 bajos - 1/2 el alto = Mayor mucho más plana con menos drag

","Pasos de la virada:
- Salir desde el gancho, cruzar bien para no tocar el foque pasar bien atrás pegado al palo y mirando para a proa, salir con el pie de adelante para poder pegar mejor.

Llevada acostado popa:
- cómo usar el codo para moverme sin mover el barco.


Muy conciente de que tan fuerte pegarle del nuevo lado en base a como viene el barco y el viento. Cuando sopla muy poco y logre salir c algo de inercia cuidarla al cien.

Afinar suavidad de cuando voy del rail a la banda en la llevada en cenida. Antes me salia mejor, poray volver a ser conciente en los pies en triangulo. Obj q no se me escuche


Ver si en la gybe tiene sentido eso de pasar p adelante de la escota de mayor.


Seguir practicando crabbing",,,,,
UfTcUHb3R2Ko8MeMgHPnCw,Training,T2j4G-xfQYWqCh9a.oCRjw,"15/6/2025, 11:00:00 a. m.","15/6/2025, 1:00:00 p. m.",,,,"



",,,,,
sNldBZKoQTibMM9OY8.dHA,Training,QY-ul09.RK-ETdlAcnksRg,"17/6/2025, 1:01:00 p. m.","17/6/2025, 3:50:00 p. m.",,,"Pasos de la virada:
- Hacer rápido el cambio de manos cuando llego al nuevo lado para poder pegar mejor.

Trasluchadas
- Preparar la escota de globo para acelerar la pasada de globo.
- Pegada los dos buscar ese sink y analizar los distintos tipos de pegada.

Izada: 
- Como poner los pies de modo de no cambiar el el peso muy abrupto.
- Izar solo con un brazo no terminar con los dos
","Postura en la ceñida:
- mirar para adelante más 
- Ser más quirúrgico con la mayor ",,,,,
a-GvZ69mWT1u5QR4SsCLPnw,Training,QY-ul09.RK-ETdlAcnksRg,"18/6/2025, 9:00:00 a. m.","18/6/2025, 11:00:00 a. m.",,,"Gybes con entrada al barco muy suave, paso de globo rapido, buena escora en la salida con proa baja, y le pegamos juntos pero con los pies en el rail, y ahi voy encontrando la proa mientras le pegamos. 

Viradas exagerando el timon lento primero y fuerte dsp.
","Doble virada

Mirar mas el viento, anticipar y hablar lo q veo

Navegar al 80% antes de entrar en la calma q veo

",,,,,
2WKqZ1miRQSZq.y00mmpCg,Training,QY-ul09.RK-ETdlAcnksRg,"26/6/2025, 1:00:00 p. m.","26/6/2025, 3:39:00 p. m.",,,"- Trasluchadas abrir la base de los pies. Y generar la escora mirando la proa para pegar.
-  La pegada es un solo momento respirar y buscar ese ritmo de 2 - 1.
- Tener la escota vieja de globo en la mano hasta que empiezo q pasar el globo.
- No moverme hasta que el barco empiece el giro. 
",,,,,,
KtFz49w0R.qYfCqyXd-80g,Regatta,1XsO3H7OQU2-3BwAVnXyYA,"4/7/2025, 6:13:00 p. m.","4/7/2025, 8:30:00 p. m.",,,,,,,,,
awwH8LNPTrOGyevAvheZ.w,Training,1XsO3H7OQU2-3BwAVnXyYA,"6/7/2025, 4:05:00 p. m.","6/7/2025, 7:30:00 p. m.",,,,,,,,,
0ruEFg-5TAuopbnyd506gg,Training,1XsO3H7OQU2-3BwAVnXyYA,"7/7/2025, 5:01:00 p. m.","7/7/2025, 7:30:00 p. m.",,,,,,,,,
1OLjqMUmQ3m7OFkk7XaRxQ,Training,1XsO3H7OQU2-3BwAVnXyYA,"8/7/2025, 4:19:00 p. m.","8/7/2025, 6:00:00 p. m.",,,,,,,,,
2jcYTA8uRw-VnPQinwF8GQ,Training,1XsO3H7OQU2-3BwAVnXyYA,"9/7/2025, 4:30:00 p. m.","9/7/2025, 7:00:00 p. m.",,,"“Feed the chicken” as we feel the load of the boat to “d-compress”. Important to feel it and play the main accurate so we can tend to use a bit more cunni in that marginal planing

Ian to steer with the main and telling Nev the moves with the rudder and jib

Cunni for the downwinds helped to pass the main in the gybes

Tacks: 
Important to know how far we are from collapsing before starting the turn
If we are close to collapse, jump in quick
If we are far, be pacient

In the exit of the tacks, if the boat didn’t turn it all, help by going out earlier and then back to bring the bow down.

","-cunni in the marginal planing and how to drive for holding what it developed

-body speed in figure 8s
",,,,,
YzynvAs2QJihivBZzp.EPw,Training,1XsO3H7OQU2-3BwAVnXyYA,"10/7/2025, 4:30:00 p. m.","10/7/2025, 7:30:00 p. m.",,,"Ian’s pump at the accelerations
Use his feet to make the heel and don’t wait to have for doing it
","Pumps on the new side of the gybes
To find when are long, when are short and more than 2, when to pull hard using the hips and when to pull smooth but long
",,,,,
20IUEy-pTNWrPczc5CpFjw,Training,1XsO3H7OQU2-3BwAVnXyYA,"11/7/2025, 5:15:00 p. m.","11/7/2025, 8:40:00 p. m.","Keep trying depth on the main by putting a lot of batten tension

Find feeling on the way we hit the new side of the gybes

Racing",,"Speed downwind and moding

Volume, attitude for a long day (happy to see that we race till the end)","How we use the body to pump the rig after manouvers

",,,,,
XWhFgD0LTna1bewLont3ig,Training,1XsO3H7OQU2-3BwAVnXyYA,"12/7/2025, 5:40:00 p. m.","12/7/2025, 8:45:00 p. m.","Keep attitude of how to improve every day
Mentality of how can I get better today
Is something that has to raise from our inner side
Don’t wait for someone to do it for you",,"Heel balance upwind
Nev moves first in so Ian can stay more locked in
(Uru mode)
And when we get into the cross over of start getting to accelerate forward, push Ian to stay back so we lift the bow a bit up and help the boat to develop speed forward and nev’s jumping first in 

","Ian’s gybes exit
When is the time to make horse step and hit
When to stay back and out
And when back and hit from the inside

Will depend on how do we feel the pressure on the new side
Preassure on the sails / turn, or preassure of the wind

Ian tack exit
When gets light, we can hit, but must be prepare to get back in quick
Cause if not too much windward heel can kill the power off the manouver",,,,,
twX.r3A0S2GCT6PNNFYh1g,Training,QY-ul09.RK-ETdlAcnksRg,"8/7/2025, 9:10:00 a. m.","8/7/2025, 12:28:00 p. m.","Trabajar la pegada de los battens en popa, trabajar el timing en las viradas",,"- Fuimos encontrando distintas formas de pegar mejor (maxi pegada del uru)
- En las viradas con más viento (por proa) la posibilidad de que tripu me quede más afuera y el barco ya salía loqueado.
- Trasluchadas acelerar la pasada de globo.",,,,,,
6ZIrhQ4cS1qusM2KaLObRA,Training,QY-ul09.RK-ETdlAcnksRg,"9/7/2025, 9:13:00 a. m.","9/7/2025, 12:13:00 p. m.","- Seguir puliendo la pegada
- Viradas ver las distintas formas de bajar el barco en la salida
- Doble viradas en ceñida 
- Layline apretado al bote 
- Maxi navegar solo mirando afuera",,"- Buenas viradas yo quedándome más afuera y enganchándome rápido para ya llevar la escora. Imp mirar bien para adelante.
- Trasluchada el pasar la rodilla a la orza desde sentado con calma en el mástil me ayuda a dejar mi peso más neutro y poder ayudar a Maxi y pasar el globo bien rápido.
","- Porque se traba bastante o raspa el globo al pasar.
- Viradas como pegar sin pararme tanto.
- Doble virada en ceñida clave arrancar la primera con un poco más de escora y el pump de la segunda más tarde así gira bien:",,,,,
ovb2CxJiRbGWkjFf9IRSzg,Training,1XsO3H7OQU2-3BwAVnXyYA,"13/7/2025, 4:18:00 p. m.","13/7/2025, 7:38:00 p. m.",,,"High level of accuracy during intense boundaries training

Speed upwind

","There’s a big difference between what we have to and what we want to
“Think first about the goal / dream to know very well what you want to achieve, so then you will have the wright perspective to do what you have to do to achieve it”

Do what has been propose, and after we can give feed back to make a drill better
Share ideas on what you wanna get better as an individual (for example: tacks so I can cross faster…)


Ian’s need to have the boat in the hand so when we are in the marginal planing, he has to make the call on when the boat is relising to point one down so he can “feed the chicken” and get into planing
This can happens after the tack that the boat wants to accelerate quite inmidiately after we are set in the new side and while nevin is booking himself here comes the call of the bow down to follow the apparent

",,,,,
aV.2H7zFT.OtZh1-JjqloQ,Training,1XsO3H7OQU2-3BwAVnXyYA,"14/7/2025, 6:00:00 p. m.","14/7/2025, 8:00:00 p. m.","We should communicate more to make good plans on what we should train
More interaction on the things we are looking for when we are speed testing",,"Speed testing in 8/9knts. We where making gains by holding us out on the wing and gaining well forward

Moment after the tacks, we where able to lock the boat quick

","Moding to anticipate leebows and being on a strong position after the manouver

Port starts, I felt we were a bit late on the call and that made us start at 70% boat speed 

When to release the cap. I felt we moved it a bit to early up. Was good to try, but it limited the power 
",,,,,
ipwkoz6zRhys9atSNmMh0w,Training,1XsO3H7OQU2-3BwAVnXyYA,"15/7/2025, 6:10:00 p. m.","15/7/2025, 8:20:00 p. m.",Get better as we interact as a team to have clearer goals and drills for the day,,"Take aways on how to trim the main depending on where we are on the lowers
Lowers off feel good up to 5knts, feels like if we want to crank it over 5 no power comes from it..
5 up, good to have them on to be able to crank the main and get power from it

Low exit gybes","Reading the wind angle on the last minute to be able to know if the wind had gone left or wright and how will that affect our distance to the line
",,,,,
vEJo-kl0RWyUKa9n3zsHxQ,Regatta,TVRi7Lo1TxWo3RfaeYAFXA,"17/7/2025, 4:15:00 p. m.","17/7/2025, 7:24:00 p. m.","-Intensity
-trust de first desicion
-be smart to take real opportunities of passing boats
- hard to win one, easy to loose two
",,"Manouvers
DW speed","Speed over the line and lane hold 

Starts positioning, in small fleet with space, seems to be better to come from behind and cross the line with full speed (hard to defend when we are the closest to the line)

-fine tunning up wind (vang/ lowers?)

",,2-1-1-2,,,
kLclZgwPQ1m8WDCiBEzZEg,Regatta,TVRi7Lo1TxWo3RfaeYAFXA,"18/7/2025, 4:10:00 p. m.","18/7/2025, 7:25:00 p. m.",,,"Stay focus to find the opportunity

Speed UW on port (sometimes very fast!)

Second upwinds tactics","Wide lay lines in marginal planing

Tacks into chop

Starting execution (play the card of last second double tack so the other boat don’t follow)

Interaction and ideas exchange in the rib between races

Don’t feel comenta personal when they are objective. Looking for performance",,4-3-3-1,,,
1eXg69q8SZKFxLm0Smf6Rw,Regatta,TVRi7Lo1TxWo3RfaeYAFXA,"19/7/2025, 4:15:00 p. m.","19/7/2025, 8:00:00 p. m.","Get better starts so we can sail clear after it

",,"Boat speed UW very good

Defending the pin 3 times and being accurate on the way we put ourself there have a clear start and good acceleration

DW, We found that coming into the chop, was better to get into it with a little bit of preassure that helped to have more controle of the speed/preassure and avoid the bouncing of the boat that decreases the speed","Share things that we would like to improve with the team so we talk about it and make a plan to improve it

Tacks 

STAnDARD move 
-leading into UW layline:
If we are on layline and the boat behind didn’t tacked, we should wait a bit
Cause if we tack on layline and the other boat keep going more and we don’t make it, we loose the lead

-behind a boat DW
If close to layline or in layline, trust our boathandling and gybe on the boat infront
Big chances to role them in this condition
Sometimes we had opportunities to be on boat to boat on the last quarter of the DW and we choose to split when we can try to role them

",,3-1-1-2,,,
ef39Vst5SYevoj7gOS6YWA,Regatta,TVRi7Lo1TxWo3RfaeYAFXA,"20/7/2025, 1:10:00 p. m.","20/7/2025, 4:02:00 p. m.","Keep doing what we know
Start execution
",,"To restart after having two weak fist races and restarting for the last one closing very well the event 


","Energy! 
Remember we are putting a lot of effort into something we love and want, don’t loose perspective on the things we are conquering as a team, results, support.
Appreciation is needed So we can get into the next level knowing very well what we are achieving
See Were we where 6 months ago, and where we are now, let’s open our eyes and see all the things that are happening, the improvement, the confidence, the level we are sailing/ racing, the team culture, the unity together
Let’s not normalize it, be proud and enjoy 
🙏🏻
",,5-4-2,,,
KA.SzzCtQPy4cLxft1K1ww,Training,QY-ul09.RK-ETdlAcnksRg,"18/7/2025, 1:44:00 p. m.","18/7/2025, 4:45:00 p. m.","Día de más viento:
- Viradas planing Tadeo buscar balance en la salida y cuanta main soltar, leyendo cuando son planing o cuando cross
- Entrada con mayor mas casada de lo normal me gusto mucho.

- Trasluchadas: Usar la técnica de meter rodilla en la entrada, pasada de globo rapida y salida sentir el ritmo de maxi y la proa 

- Llevada distintos tipos: 
- cuando daba para escalerita a fondo o cuando es un poco más cargado y maxi timón con la ola de popa 
- Lectura de cuando ya paga subirse de trap por el chop 
- Caminar activo o no con ola medio de popa en ceñida? Me gustó como lo llevabamos no teníamos para metro para saber ",,"- mejores viradas 
- mejores entradas en las traslu
- Más feeling vang y cuni (falta ejecución prolija) 
","- En las viradas me daba la sensación de llegar muy rápido al medio, y sentir que yo salía mas suave y maxi mas fuerte. Buscar más el sink 

- Trasluchada buenas a malas, era muy chota la ola, ya saber eso y no buscar una perfecta para ese lado sino buscar una al 70 pero que salga puesto. (Siento que por querer buscar una mejor salida esperaba mucho yo para salir y nos jodio algunas salidas)",,,,,
lo52czU2SAOBGG9uNVEUqA,Training,QY-ul09.RK-ETdlAcnksRg,"12/7/2025, 1:30:00 p. m.","12/7/2025, 3:30:00 p. m.",,false,"Bajada de proa usando los pies juntos para después pegar

- Usar un poco del peso sobre el mástil para ayudar a virarlo. Cuando es solo pega Maxi ayudar a que gire así y pasar bien sentado casi que es de sentado a sentando muy bajito.

- Acelerar mucho la pasada de globo nos dió una muy buena sensación 

- Pegada con rebote, desp de pegar comprimir rápido flexionando las rodillas y volver como la volada del timonel ","- Triming de globo: como volarlo lo más posible, pero sin que me oblique a moverlo todo el tiempo, ir buscando el punto y el dinamismo en la escota",,,,,
TNXp7NKkRYSjRTWTErtS7Q,Training,QY-ul09.RK-ETdlAcnksRg,"10/7/2025, 12:44:00 p. m.","10/7/2025, 2:44:00 p. m.","Línea recta en popa: 
- Concepto de ir generando de a poco 
- Navegar al 75% cuidando la escora y es ese gradito de escora que te permite ir saliendo e ir generando
- Maxi poder navegar a popa y buscando ese poquito todo el tiempo (estilo uru)",,"- Mejoró mucho la llevada en popa cuando los dos le ponemos conciencia en cuidar esa apolladita cuando empieza el double trap.

- Usar bien los pies en la zona de la proa del ala e ir buscando aguantar esa escorita siempre ahí.

- No comprar tan abrupto cuando entra la presión y quiere acelerar (técnica Nev e Ian medio sentados en el trap)",,,,,,
e6yKZcIgS0ebZq2dYUGs1Q,Training,Na57pSbgRTW7lqb82YOJ3A,"25/7/2025, 6:43:00 p. m.","25/7/2025, 9:20:00 p. m.",,,,,,,,,
HVudr28vS1-IYYi..rhGvQ,Training,Na57pSbgRTW7lqb82YOJ3A,"26/7/2025, 7:08:00 p. m.","26/7/2025, 9:42:00 p. m.",,,,,,,,,
sNHXVvGpSWWxhUkRGjG2-Q,Training,Na57pSbgRTW7lqb82YOJ3A,"27/7/2025, 3:30:00 p. m.","27/7/2025, 7:30:00 p. m.",,,,,,,,,
9zUxRHDDRlWjsYj48SKEnA,Training,Na57pSbgRTW7lqb82YOJ3A,"28/7/2025, 3:10:00 p. m.","28/7/2025, 7:20:00 p. m.",,,,,,,,,
gJnpGlirQeCIPCDhtAeDpA,Training,Na57pSbgRTW7lqb82YOJ3A,"30/7/2025, 7:50:00 p. m.","30/7/2025, 10:30:00 p. m.",,,,,,,,,
NQLuwpo-QteiYmLAikVfvA,Training,Na57pSbgRTW7lqb82YOJ3A,"31/7/2025, 7:15:00 p. m.","31/7/2025, 9:50:00 p. m.",,true,,,,,,,
